taxon,5-1_AdultBodyMass_g,3-1_AgeatFirstBirth_d,7-1_DispersalAge_d,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d
Callithrix_penicillata,5.828886792350624,NaN,NaN,NaN,NaN,0.6931471805599453,NaN,NaN,NaN,NaN,NaN
Callithrix_pygmaea,4.819797577533961,6.73388986799572,NaN,4.901118002856905,5.206750173022546,0.6575200029167941,NaN,5.199601393608879,6.563150059130735,NaN,4.507888063181538
Callorhinus_ursinus,10.923504224877671,NaN,4.787491742782046,5.881900765647841,5.8998973535824915,0.03922071315328133,-0.6931471805599453,6.040254711277414,7.428719334721052,NaN,4.688499793575096
Callosciurus_adamsi,5.340993640828473,NaN,NaN,NaN,NaN,0.6626879730752367,NaN,NaN,NaN,1.6094379124341003,NaN
Callosciurus_baluensis,5.780465699427158,NaN,NaN,NaN,NaN,1.0986122886681098,NaN,NaN,NaN,1.6094379124341003,NaN
Callosciurus_caniceps,5.5793901456598824,NaN,NaN,NaN,NaN,0.7839015438284094,NaN,4.736198448394496,NaN,NaN,NaN
Callosciurus_melanogaster,5.69035945432406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Callosciurus_nigrovittatus,5.3389793482669266,NaN,NaN,NaN,NaN,0.8586616190375187,NaN,NaN,NaN,1.6094379124341003,NaN
Callosciurus_notatus,5.344676005526054,NaN,NaN,NaN,NaN,0.9631743177730056,NaN,4.746669748261791,6.025479425695259,1.6094379124341003,NaN
Callosciurus_orestes,5.780465699427158,NaN,NaN,NaN,NaN,1.0986122886681098,NaN,NaN,NaN,1.6094379124341003,NaN
Callosciurus_prevostii,5.991464547107982,NaN,NaN,3.830379016387636,NaN,0.25464221837358075,NaN,4.219507705176107,NaN,1.6094379124341003,NaN
Calomys_boliviae,3.295836866004329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Calomys_callidus,3.295836866004329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6078614738467776,NaN,NaN
Calomys_callosus,3.8055507609176296,3.7376696182833684,NaN,3.0819099697950434,3.044522437723423,1.5912739418064292,1.0986122886681098,NaN,3.7653774250866614,NaN,2.9085390618516134
Calomys_expulsus,3.685373314784649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Calomys_hummelincki,3.295836866004329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Calomys_laucha,2.6390573296152584,NaN,NaN,3.2188758248682006,NaN,1.667706820558076,NaN,NaN,NaN,NaN,NaN
Calomys_lepidus,3.0248055210396982,NaN,NaN,NaN,3.0325462466767075,1.4562867329399256,NaN,NaN,NaN,NaN,NaN
Calomys_musculinus,3.005682604407159,NaN,NaN,3.0430928449138284,NaN,1.8357763546448294,NaN,NaN,4.331127999240345,NaN,NaN
Calomys_sorellus,2.995732273553991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Calomys_tener,2.624668592163159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Calomys_venustus,3.8985324152456466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Calomyscus_bailwardi,3.062455905596899,NaN,NaN,NaN,NaN,1.3862943611198906,0.0,NaN,NaN,NaN,NaN
Calomyscus_mystax,NaN,NaN,NaN,NaN,NaN,1.6074359097634274,0.6931471805599453,NaN,NaN,NaN,NaN
Atelocynus_microtis,9.031598799384916,NaN,NaN,NaN,NaN,NaN,NaN,4.882801922586371,NaN,NaN,NaN
Atherurus_africanus,7.964034014634168,NaN,NaN,4.683796506443281,NaN,0.4054651081081644,1.0116009116784799,5.616043560348194,NaN,NaN,3.8148510936758724
Atherurus_macrourus,7.600902459542082,NaN,NaN,NaN,NaN,0.4054651081081644,NaN,NaN,NaN,NaN,NaN
Atilax_paludinosus,8.188733567901021,NaN,NaN,4.347305781945493,5.206750173022546,0.6931471805599453,0.6931471805599453,5.342334251964811,5.458861848105724,1.3862943611198906,3.580458705159516
Atlantoxerus_getulus,5.523738322606287,NaN,NaN,NaN,NaN,NaN,NaN,4.68213122712422,NaN,NaN,NaN
Auliscomys_boliviensis,4.261411467315905,NaN,NaN,NaN,NaN,1.2237754316221157,NaN,NaN,NaN,NaN,NaN
Auliscomys_pictus,3.891207865714226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Auliscomys_sublimis,3.6375861597263857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Avahi_laniger,6.996022533693769,6.847686752516018,NaN,4.913757219119769,5.8998973535824915,0.009950330853168092,0.0,NaN,NaN,0.6931471805599453,5.0049525109607576
Avahi_occidentalis,6.72019602939192,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Axis_axis,11.14908188766798,NaN,NaN,5.427106281380954,6.0540402055904625,0.009950330853168092,NaN,5.519859636495273,6.298360838483567,NaN,4.801230268892559
